((0.2, 0.2, 1e-09, 1000), 0.00771205366779913)
((0.9, 0.9, 1e-05, 1000), 0.007715844188485055)
((0.1, 0.1, 1e-12, 1000), 0.007716897428883135)
((0.3, 0.6, 1e-09, 1000), 0.007721962700783748)
((0.1, 0.8, 1e-09, 1000), 0.007731656270657913)
((0.5, 0.9, 1e-08, 1000), 0.007732096901097957)
((0.8, 0.9, 1e-05, 1000), 0.007732824789782152)
((0.2, 0.6, 1e-10, 1000), 0.007734726063284408)
((0.3, 0.9, 1e-09, 1000), 0.007739058520827149)
((0.9, 0.8, 0.01, 1000), 0.007739159518532088)
((0.4, 0.7, 1e-07, 1000), 0.0077446616120825165)
((0.2, 0.7, 1e-08, 1000), 0.007751419943295833)
((0.2, 0.9, 1e-08, 1000), 0.007758471772134207)
((0.3, 0.2, 1e-08, 1000), 0.007758620130435125)
((0.5, 0.4, 1e-07, 1000), 0.007760446099232201)
((0.1, 0.4, 1e-12, 1000), 0.007760690834830232)
((0.6, 0.2, 1e-07, 1000), 0.007766659116713362)
((0.5, 0.1, 1e-08, 1000), 0.007773344890992905)
((0.7, 0.7, 1e-06, 1000), 0.007777200068578462)
((0.3, 0.6, 1e-07, 1000), 0.007782728591265044)
((0.2, 0.2, 1e-10, 1000), 0.007791572914931174)
((0.4, 0.4, 1e-08, 1000), 0.0077946721194438896)
((0.4, 0.7, 1e-08, 1000), 0.0078017872266552945)
((0.1, 0.2, 1e-10, 1000), 0.0078018575085978025)
((0.6, 0.1, 1e-07, 1000), 0.007804119906224288)
((0.6, 0.4, 1e-06, 1000), 0.007811992578616334)
((0.7, 0.2, 1e-06, 1000), 0.007812531478260568)
((0.1, 0.8, 0.001, 1000), 0.007823307832560873)
((0.6, 0.3, 1e-06, 1000), 0.007826992173365388)
((0.6, 0.8, 0.01, 1000), 0.007830820002484723)
((0.7, 0.8, 0.001, 1000), 0.00783321526250781)
((0.5, 0.2, 1e-08, 1000), 0.007836454799490163)
((0.3, 0.3, 1e-08, 1000), 0.007842559754538615)
((0.5, 0.8, 0.0001, 1000), 0.007852798838860737)
((0.7, 0.2, 1e-05, 1000), 0.007852891599024098)
((0.8, 0.8, 1e-05, 1000), 0.007855491450793593)
((0.7, 0.3, 1e-05, 1000), 0.007857045341483494)
((0.1, 0.7, 1e-11, 1000), 0.007866559660907787)
((0.6, 0.7, 0.01, 1000), 0.007866620172100628)
((0.1, 0.9, 1e-06, 1000), 0.007867960402854573)
((0.6, 0.2, 1e-06, 1000), 0.007875081423614415)
((0.2, 0.3, 1e-09, 1000), 0.007875969272155434)
((0.2, 0.9, 1e-10, 1000), 0.00788459544551072)
((0.2, 0.9, 1e-06, 1000), 0.007885145184638617)
((0.7, 0.4, 1e-05, 1000), 0.007885376697139217)
((0.3, 0.5, 0.0001, 1000), 0.007887964687153238)
((0.1, 0.8, 1e-11, 1000), 0.00789339078823929)
((0.3, 0.9, 0.0001, 1000), 0.007897540871333738)
((0.6, 0.8, 1e-07, 1000), 0.007906717589645656)
((0.4, 0.3, 1e-07, 1000), 0.007906762089399081)
((0.7, 0.3, 0.1, 1000), 0.007909011110053392)
((0.4, 0.2, 1e-07, 1000), 0.007917266418482288)
((0.1, 0.5, 1e-12, 1000), 0.00791934989331423)
((0.5, 0.3, 1e-07, 1000), 0.007919749059837116)
((0.3, 0.4, 1e-08, 1000), 0.007923600067530477)
((0.5, 0.2, 1e-07, 1000), 0.007940170833792662)
((0.3, 0.7, 1e-07, 1000), 0.00794135796453026)
((0.7, 0.3, 0.01, 1000), 0.007943099912984617)
((0.4, 0.3, 1e-08, 1000), 0.007944995562221004)
((0.1, 0.3, 1e-10, 1000), 0.007945628907963442)
((0.2, 0.2, 1e-08, 1000), 0.007953496549307685)
((0.6, 0.6, 1e-05, 1000), 0.00795736983316365)
((0.6, 0.9, 0.0001, 1000), 0.007960811190841788)
((0.3, 0.8, 0.01, 1000), 0.00796181491168707)
((0.5, 0.5, 1e-06, 1000), 0.007975312621298988)
((0.8, 0.1, 1e-06, 1000), 0.007983260785182595)
