Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 13, 1e-08, 0), 1.332124631244851)
((2, 13, 1e-09, 0), 1.3321246312787651)
((2, 13, 1e-07, 0), 1.332124630902274)
((2, 13, 1e-06, 0), 1.3321246274839926)
((2, 13, 1e-05, 0), 1.332124593294251)
((2, 13, 0.001, 0), 1.332120833136091)
((2, 13, 0.0001, 0), 1.332124251405351)
((2, 13, 0.01, 0), 1.3320867122541926)
((2, 13, 0.1, 0), 1.3317515940831466)
((2, 14, 1e-13, 0), 1.3604072384825185)
((2, 14, 1e-14, 0), 1.3604072384825185)
((2, 14, 1e-15, 0), 1.3604072384825185)
((2, 14, 1e-12, 0), 1.3604072384821366)
((2, 14, 1e-11, 0), 1.3604072384820753)
((2, 14, 1e-10, 0), 1.3604072384821184)
((2, 14, 1e-08, 0), 1.3604072384543815)
((2, 14, 1e-07, 0), 1.3604072382028387)
((2, 14, 1e-09, 0), 1.360407238479407)
((2, 14, 1e-05, 0), 1.3604072105440443)
((2, 14, 1e-06, 0), 1.3604072356883525)
((2, 14, 0.0001, 0), 1.3604069591027899)
((2, 14, 0.01, 0), 1.3603793401691928)
((2, 14, 0.001, 0), 1.3604044450471042)
((2, 14, 0.1, 0), 1.360131816835444)
((2, 15, 1e-15, 0), 1.389515886839006)
((2, 15, 1e-12, 0), 1.3895158868393047)
((2, 15, 1e-14, 0), 1.389515886839006)
((2, 15, 1e-11, 0), 1.3895158868393074)
((2, 15, 1e-13, 0), 1.389515886839006)
((2, 15, 1e-10, 0), 1.3895158868388562)
((2, 15, 1e-09, 0), 1.3895158868372364)
((2, 15, 1e-07, 0), 1.3895158866163282)
((2, 15, 1e-08, 0), 1.3895158868169235)
((2, 15, 1e-06, 0), 1.3895158846096352)
((2, 15, 1e-05, 0), 1.389515864546276)
((2, 15, 0.0001, 0), 1.389515663911159)
((2, 15, 0.01, 0), 1.389493618590731)
((2, 15, 0.001, 0), 1.3895136577821643)
