Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240612-124703
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 67.67242097854614 seconds.
Estimated time to finish is 8120.690517425537 seconds.
--------------------------------------------------------------------------------
((2, 19, 1e-12, 0), nan)
((2, 19, 1e-11, 0), nan)
((2, 19, 1e-10, 0), nan)
((2, 19, 1e-09, 0), nan)
((2, 19, 1e-07, 0), nan)
((2, 19, 1e-05, 0), nan)
((2, 19, 1e-08, 0), nan)
((2, 19, 0.0001, 0), nan)
((2, 19, 1e-06, 0), nan)
((2, 19, 0.001, 0), nan)
((2, 19, 0.01, 0), nan)
((2, 20, 1e-12, 0), nan)
((2, 20, 1e-13, 0), nan)
((2, 19, 0.1, 0), 0.05227039123980035)
((2, 20, 1e-10, 0), nan)
((2, 20, 1e-11, 0), nan)
((2, 20, 1e-15, 0), nan)
((2, 20, 1e-14, 0), nan)
((2, 20, 1e-08, 0), nan)
((2, 20, 1e-06, 0), nan)
((2, 20, 1e-07, 0), nan)
((2, 20, 1e-05, 0), nan)
((2, 20, 1e-09, 0), nan)
((2, 20, 0.001, 0), nan)
((2, 20, 0.01, 0), nan)
((2, 20, 0.1, 0), 0.024044729645680073)
((2, 21, 1e-15, 0), nan)
((2, 21, 1e-14, 0), nan)
((2, 20, 0.0001, 0), nan)
((2, 21, 1e-13, 0), nan)
((2, 21, 1e-11, 0), nan)
((2, 21, 1e-10, 0), nan)
((2, 21, 1e-12, 0), nan)
((2, 21, 1e-06, 0), nan)
((2, 21, 1e-08, 0), nan)
((2, 21, 1e-07, 0), nan)
((2, 21, 1e-09, 0), nan)
((2, 21, 1e-05, 0), nan)
((2, 21, 0.001, 0), nan)
((2, 21, 0.01, 0), nan)
((2, 21, 0.0001, 0), nan)
((2, 21, 0.1, 0), nan)
((2, 22, 1e-15, 0), nan)
((2, 22, 1e-14, 0), nan)
((2, 22, 1e-13, 0), nan)
((2, 22, 1e-12, 0), nan)
((2, 22, 1e-10, 0), nan)
((2, 22, 1e-09, 0), nan)
((2, 22, 1e-11, 0), nan)
((2, 22, 1e-08, 0), nan)
((2, 22, 1e-06, 0), nan)
((2, 22, 1e-05, 0), nan)
((2, 22, 1e-07, 0), nan)
((2, 22, 0.0001, 0), nan)
((2, 22, 0.001, 0), nan)
((2, 22, 0.01, 0), nan)
((2, 23, 1e-14, 0), nan)
((2, 23, 1e-15, 0), nan)
((2, 23, 1e-12, 0), nan)
((2, 22, 0.1, 0), nan)
((2, 23, 1e-13, 0), nan)
((2, 23, 1e-11, 0), nan)
((2, 23, 1e-08, 0), nan)
((2, 23, 1e-10, 0), nan)
((2, 23, 1e-07, 0), nan)
((2, 23, 0.0001, 0), nan)
((2, 23, 1e-09, 0), nan)
((2, 23, 1e-06, 0), nan)
((2, 23, 1e-05, 0), nan)
((2, 23, 0.1, 0), nan)
((2, 23, 0.01, 0), nan)
((2, 23, 0.001, 0), nan)
((2, 24, 1e-14, 0), nan)
((2, 24, 1e-12, 0), nan)
((2, 24, 1e-13, 0), nan)
((2, 24, 1e-11, 0), nan)
((2, 24, 1e-10, 0), nan)
((2, 24, 1e-15, 0), nan)
((2, 24, 1e-07, 0), nan)
((2, 24, 1e-09, 0), nan)
((2, 24, 1e-06, 0), nan)
((2, 24, 0.0001, 0), nan)
((2, 24, 0.001, 0), nan)
((2, 24, 1e-08, 0), nan)
((2, 24, 1e-05, 0), nan)
((2, 24, 0.01, 0), nan)
((2, 24, 0.1, 0), nan)
((2, 25, 1e-15, 0), nan)
((2, 25, 1e-12, 0), nan)
((2, 25, 1e-14, 0), nan)
((2, 25, 1e-13, 0), nan)
((2, 25, 1e-11, 0), nan)
((2, 25, 1e-10, 0), nan)
((2, 25, 1e-09, 0), nan)
((2, 25, 1e-08, 0), nan)
((2, 25, 1e-07, 0), nan)
((2, 25, 1e-06, 0), nan)
((2, 25, 1e-05, 0), nan)
((2, 25, 0.001, 0), nan)
((2, 25, 0.01, 0), nan)
((2, 25, 0.1, 0), nan)
((2, 26, 1e-15, 0), nan)
((2, 26, 1e-14, 0), nan)
((2, 25, 0.0001, 0), nan)
((2, 26, 1e-13, 0), nan)
((2, 26, 1e-12, 0), nan)
((2, 26, 1e-11, 0), nan)
((2, 26, 1e-10, 0), nan)
((2, 26, 1e-09, 0), nan)
((2, 26, 1e-08, 0), nan)
((2, 26, 1e-05, 0), nan)
((2, 26, 1e-06, 0), nan)
((2, 26, 0.0001, 0), nan)
((2, 26, 0.001, 0), nan)
((2, 26, 0.01, 0), nan)
((2, 26, 1e-07, 0), nan)
((2, 26, 0.1, 0), nan)
((2, 27, 1e-14, 0), nan)
((2, 27, 1e-13, 0), nan)
((2, 27, 1e-11, 0), nan)
((2, 27, 1e-12, 0), nan)
((2, 27, 1e-15, 0), nan)
((2, 27, 1e-07, 0), nan)
((2, 27, 1e-09, 0), nan)
((2, 27, 1e-10, 0), nan)
((2, 27, 1e-08, 0), nan)
((2, 27, 1e-06, 0), nan)
((2, 27, 0.0001, 0), nan)
((2, 27, 1e-05, 0), nan)
((2, 27, 0.001, 0), nan)
((2, 27, 0.1, 0), nan)
((2, 27, 0.01, 0), nan)
((2, 28, 1e-15, 0), nan)
((2, 28, 1e-13, 0), nan)
((2, 28, 1e-11, 0), nan)
((2, 28, 1e-10, 0), nan)
((2, 28, 1e-14, 0), nan)
((2, 28, 1e-12, 0), nan)
((2, 28, 1e-08, 0), nan)
((2, 28, 1e-09, 0), nan)
((2, 28, 1e-07, 0), nan)
((2, 28, 1e-06, 0), nan)
((2, 28, 1e-05, 0), nan)
((2, 28, 0.0001, 0), nan)
((2, 28, 0.001, 0), nan)
((2, 28, 0.1, 0), nan)
((2, 29, 1e-15, 0), nan)
((2, 28, 0.01, 0), nan)
((2, 29, 1e-14, 0), nan)
((2, 29, 1e-12, 0), nan)
((2, 29, 1e-13, 0), nan)
((2, 29, 1e-10, 0), nan)
((2, 29, 1e-09, 0), nan)
((2, 29, 1e-07, 0), nan)
((2, 29, 1e-05, 0), nan)
((2, 29, 1e-08, 0), nan)
((2, 29, 1e-11, 0), nan)
((2, 29, 0.0001, 0), nan)
((2, 29, 1e-06, 0), nan)
((2, 29, 0.001, 0), nan)
((2, 29, 0.01, 0), nan)
((2, 29, 0.1, 0), nan)
((2, 30, 1e-15, 0), nan)
((2, 30, 1e-14, 0), nan)
((2, 30, 1e-13, 0), nan)
((2, 30, 1e-12, 0), nan)
((2, 30, 1e-10, 0), nan)
((2, 30, 1e-09, 0), nan)
((2, 30, 1e-08, 0), nan)
((2, 30, 1e-11, 0), nan)
((2, 30, 1e-07, 0), nan)
((2, 30, 1e-06, 0), nan)
((2, 30, 1e-05, 0), nan)
((2, 30, 0.01, 0), nan)
((2, 30, 0.1, 0), nan)
((2, 30, 0.001, 0), nan)
((2, 30, 0.0001, 0), nan)
((2, 31, 1e-15, 0), nan)
((2, 31, 1e-12, 0), nan)
((2, 31, 1e-13, 0), nan)
((2, 31, 1e-14, 0), nan)
((2, 31, 1e-10, 0), nan)
((2, 31, 1e-09, 0), nan)
((2, 31, 1e-11, 0), nan)
((2, 31, 1e-08, 0), nan)
((2, 31, 1e-07, 0), nan)
((2, 31, 1e-06, 0), nan)
((2, 31, 1e-05, 0), nan)
((2, 31, 0.001, 0), nan)
((2, 31, 0.0001, 0), nan)
((2, 31, 0.01, 0), nan)
((2, 31, 0.1, 0), nan)
((2, 32, 1e-15, 0), nan)
((2, 32, 1e-14, 0), nan)
((2, 32, 1e-13, 0), nan)
((2, 32, 1e-12, 0), nan)
((2, 32, 1e-11, 0), nan)
((2, 32, 1e-10, 0), nan)
((2, 32, 1e-09, 0), nan)
((2, 32, 1e-08, 0), nan)
((2, 32, 1e-06, 0), nan)
((2, 32, 1e-07, 0), nan)
((2, 32, 1e-05, 0), nan)
((2, 32, 0.0001, 0), nan)
((2, 32, 0.01, 0), nan)
((2, 32, 0.001, 0), nan)
((2, 33, 1e-15, 0), nan)
((2, 32, 0.1, 0), nan)
((2, 33, 1e-13, 0), nan)
