Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-072448
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: NormStd
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 12.282181978225708 seconds.
Estimated time to finish is 147.3861837387085 seconds.
--------------------------------------------------------------------------------
((0.3, 0.3, 1e-07, 100), 1.4877529500762134)
((0.3, 0.3, 1e-08, 100), 1.527296152511773)
((0.3, 0.3, 0.1, 100), 1.1428978681979696)
((0.3, 0.3, 0.01, 100), 1.1210347854117166)
((0.3, 0.3, 0.001, 100), 1.0237360482527094)
((0.3, 0.4, 1e-14, 100), 1.5038119240915957)
((0.3, 0.4, 1e-11, 100), 1.503810745150267)
((0.3, 0.3, 1e-05, 100), 1.0537029921060712)
((0.3, 0.4, 1e-09, 100), 1.5036939631545776)
((0.3, 0.4, 1e-13, 100), 1.5038119135543553)
((0.3, 0.3, 0.0001, 100), 0.9668374736829677)
((0.3, 0.4, 1e-08, 100), 1.5026362541390212)
((0.3, 0.4, 1e-12, 100), 1.5038118069734883)
((0.3, 0.4, 1e-06, 100), 1.4155344925425584)
((0.3, 0.4, 1e-05, 100), 1.1791352582896242)
((0.3, 0.4, 1e-10, 100), 1.5038001252145703)
((0.3, 0.3, 1e-06, 100), 1.3038719171141104)
((0.3, 0.4, 1e-07, 100), 1.4924309223171297)
((0.3, 0.5, 1e-15, 100), 1.4948480733758363)
((0.3, 0.4, 0.0001, 100), 0.9884058769781314)
((0.3, 0.4, 0.001, 100), 0.9844238754638086)
((0.3, 0.5, 1e-14, 100), 1.4948480730427076)
((0.3, 0.4, 1e-15, 100), 1.5038119251971138)
((0.3, 0.5, 1e-09, 100), 1.494807426335112)
((0.3, 0.5, 0.001, 100), 0.9729939981835747)
((0.3, 0.5, 1e-11, 100), 1.4948476668929813)
((0.3, 0.5, 1e-08, 100), 1.494442083416166)
((0.3, 0.5, 1e-12, 100), 1.494848032734307)
((0.3, 0.4, 0.1, 100), 1.136688534874128)
((0.3, 0.6, 1e-15, 100), 1.5066051203759814)
((0.3, 0.6, 1e-13, 100), 1.5066051184991112)
((0.3, 0.6, 1e-14, 100), 1.506605120217856)
((0.3, 0.5, 0.01, 100), 1.03996455064232)
((0.3, 0.5, 1e-13, 100), 1.4948480692806478)
((0.3, 0.5, 0.1, 100), 1.1248572628018587)
((0.3, 0.5, 1e-10, 100), 1.4948440081855803)
((0.3, 0.4, 0.01, 100), 1.0783571158538205)
((0.3, 0.5, 1e-06, 100), 1.458726698524406)
((0.3, 0.5, 1e-07, 100), 1.490835347024915)
((0.3, 0.6, 1e-12, 100), 1.5066051010656156)
((0.3, 0.5, 1e-05, 100), 1.29558793922163)
((0.3, 0.6, 1e-11, 100), 1.5066049272833744)
((0.3, 0.5, 0.0001, 100), 1.0473720264510793)
((0.3, 0.6, 1e-10, 100), 1.5066031891122873)
((0.3, 0.6, 1e-08, 100), 1.506412109663962)
((0.3, 0.6, 1e-09, 100), 1.506585808541263)
((0.3, 0.6, 1e-07, 100), 1.5046857429320246)
((0.3, 0.6, 1e-06, 100), 1.4883986606278472)
((0.3, 0.6, 0.0001, 100), 1.125288598507207)
((0.3, 0.6, 0.1, 100), 1.1099787225667224)
((0.3, 0.6, 1e-05, 100), 1.380553187196541)
((0.3, 0.6, 0.01, 100), 1.0161386508238563)
((0.3, 0.6, 0.001, 100), 0.9818621841665405)
((0.3, 0.7, 1e-14, 100), 1.5459028480692645)
((0.3, 0.7, 1e-15, 100), 1.545902848160646)
((0.3, 0.7, 1e-09, 100), 1.5458903679341245)
((0.3, 0.7, 1e-10, 100), 1.5459016001055397)
((0.3, 0.7, 1e-08, 100), 1.5457780887987755)
((0.3, 0.7, 1e-13, 100), 1.5459028469397276)
((0.3, 0.7, 1e-12, 100), 1.545902835699522)
((0.3, 0.7, 1e-06, 100), 1.533877421968486)
((0.3, 0.7, 1e-05, 100), 1.4529882988895584)
((0.3, 0.7, 0.0001, 100), 1.203959883004187)
((0.3, 0.7, 1e-11, 100), 1.5459027233665374)
((0.3, 0.7, 0.001, 100), 1.0064584800779943)
((0.3, 0.7, 0.1, 100), 1.0964453576756095)
((0.3, 0.7, 1e-07, 100), 1.5446595492482462)
((0.3, 0.8, 1e-15, 100), 1.630405412175638)
((0.3, 0.7, 0.01, 100), 1.0062339348657343)
((0.3, 0.8, 1e-09, 100), 1.630393740476808)
((0.3, 0.8, 1e-12, 100), 1.6304054005345712)
((0.3, 0.8, 1e-14, 100), 1.6304054120869211)
((0.3, 0.8, 1e-10, 100), 1.6304042449860454)
((0.3, 0.8, 1e-13, 100), 1.6304054110177766)
((0.3, 0.8, 1e-05, 100), 1.540236508832217)
((0.3, 0.8, 1e-11, 100), 1.630405295468608)
((0.3, 0.8, 0.01, 100), 1.0073305908630052)
((0.3, 0.8, 1e-06, 100), 1.6190956321493004)
((0.3, 0.8, 0.1, 100), 1.0891627861482145)
((0.3, 0.8, 0.001, 100), 1.0394900729778553)
((0.3, 0.9, 1e-13, 100), 1.8199196908439839)
((0.3, 0.8, 1e-07, 100), 1.6292419743577642)
((0.3, 0.8, 0.0001, 100), 1.276476767997999)
((0.3, 0.9, 1e-15, 100), 1.8199196928380175)
((0.3, 0.8, 1e-08, 100), 1.630288729263352)
((0.3, 0.9, 1e-14, 100), 1.8199196926490284)
((0.3, 0.9, 1e-12, 100), 1.8199196723982776)
((0.3, 0.9, 1e-07, 100), 1.8178820189833922)
((0.3, 0.9, 1e-10, 100), 1.8199176455500303)
((0.3, 0.9, 1e-08, 100), 1.8197150558134016)
((0.3, 0.9, 1e-11, 100), 1.819919488132184)
((0.3, 0.9, 1e-09, 100), 1.8198992204074471)
((0.3, 0.9, 1e-06, 100), 1.8003600568787828)
((0.3, 0.9, 0.0001, 100), 1.3346422928659647)
((0.3, 0.9, 0.001, 100), 1.0680183333416655)
((0.3, 0.9, 1e-05, 100), 1.6757588073973142)
((0.3, 0.9, 0.01, 100), 1.0169453953543486)
((0.3, 0.9, 0.1, 100), 1.0950966102014523)
((0.4, 0.1, 1e-14, 100), 1.5171493984296813)
((0.4, 0.1, 1e-15, 100), 1.5171495474691927)
((0.4, 0.1, 1e-09, 100), 1.4994144901755893)
((0.4, 0.1, 1e-11, 100), 1.5169599857021985)
((0.4, 0.1, 1e-10, 100), 1.5152658847042153)
((0.4, 0.1, 1e-12, 100), 1.517130584846797)
((0.4, 0.1, 1e-07, 100), 1.169626103078685)
((0.4, 0.1, 1e-08, 100), 1.3994686268801388)
((0.4, 0.1, 0.001, 100), 1.160964914406442)
((0.4, 0.1, 0.0001, 100), 1.1082408522019302)
