Estimator: NGRC
Total number of parameters: 480
Time started: 20240615-143133
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: None
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 0.03269457817077637 seconds.
Estimated time to finish is 7.846698760986328 seconds.
--------------------------------------------------------------------------------
((3, 5, 1e-13, 0, True), 0.0732007122047365)
((5, 2, 1e-07, 0, True), nan)
((3, 5, 1e-15, 0, True), 0.0732007122047365)
((3, 5, 1e-08, 0, True), 0.08212696217680411)
((3, 5, 1e-06, 0, True), nan)
((4, 4, 0.0001, 0, True), 0.058102770363543346)
((5, 2, 1e-06, 0, True), nan)
((5, 2, 0.0001, 0, True), nan)
((5, 2, 1e-10, 0, True), nan)
((5, 2, 0.001, 0, True), nan)
((5, 2, 0.01, 0, True), nan)
((5, 2, 1e-08, 0, True), nan)
((5, 2, 1e-05, 0, True), nan)
((5, 2, 0.1, 0, True), 0.056896997964344186)
((4, 4, 1e-05, 0, True), nan)
((5, 3, 1e-15, 0, True), nan)
((5, 3, 1e-14, 0, True), nan)
((5, 3, 1e-13, 0, True), nan)
((5, 3, 1e-12, 0, True), nan)
((5, 3, 1e-11, 0, True), nan)
((5, 3, 1e-10, 0, True), nan)
((4, 4, 0.001, 0, True), 0.17711978820352803)
((5, 3, 1e-09, 0, True), nan)
((5, 3, 1e-08, 0, True), nan)
((5, 3, 1e-07, 0, True), nan)
((5, 3, 1e-06, 0, True), nan)
((5, 3, 1e-05, 0, True), nan)
((4, 4, 0.01, 0, True), 0.13964361949247994)
((5, 3, 0.0001, 0, True), nan)
((4, 4, 1e-10, 0, True), nan)
((5, 3, 0.001, 0, True), 0.04924618719691694)
((4, 4, 1e-08, 0, True), 0.04661767315141785)
((5, 3, 0.01, 0, True), nan)
((4, 4, 1e-09, 0, True), 0.07515480306372184)
((5, 3, 0.1, 0, True), 0.35588383520836275)
((4, 4, 1e-06, 0, True), nan)
((4, 4, 0.1, 0, True), nan)
((4, 5, 1e-15, 0, True), nan)
((4, 5, 1e-14, 0, True), nan)
((4, 5, 1e-10, 0, True), nan)
((4, 5, 1e-13, 0, True), nan)
((4, 5, 1e-12, 0, True), nan)
((4, 5, 1e-11, 0, True), nan)
((4, 5, 1e-09, 0, True), 0.10237833965342749)
((4, 5, 1e-07, 0, True), 0.04487897681633074)
((6, 2, 1e-15, 0, True), nan)
((4, 5, 1e-05, 0, True), nan)
((4, 5, 0.001, 0, True), nan)
((4, 5, 0.01, 0, True), 0.14379671536572744)
((6, 2, 1e-14, 0, True), nan)
((4, 5, 0.1, 0, True), nan)
((6, 2, 1e-13, 0, True), nan)
((6, 2, 1e-12, 0, True), nan)
((4, 5, 1e-08, 0, True), nan)
((6, 2, 1e-10, 0, True), nan)
((6, 2, 1e-09, 0, True), nan)
((6, 2, 1e-08, 0, True), nan)
((6, 2, 1e-07, 0, True), nan)
((6, 2, 1e-06, 0, True), nan)
((6, 2, 1e-05, 0, True), nan)
((6, 2, 0.0001, 0, True), nan)
