Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.1, 0.8, 0.01, 100), 107.75744012846451)
((0.2, 0.1, 1e-11, 100), 0.015563849424157646)
((0.2, 0.1, 1e-09, 100), 0.10272691773904463)
((0.1, 0.9, 1e-06, 100), 4.650346640132024)
((0.2, 0.1, 1e-08, 100), 29.048398479770853)
((0.1, 0.9, 1e-15, 100), 141.53741914126374)
((0.2, 0.1, 1e-13, 100), 0.01824616079873643)
((0.2, 0.1, 1e-12, 100), 0.0017848807270148808)
((0.2, 0.1, 1e-14, 100), 2753.349386646138)
((0.1, 0.9, 0.1, 100), 100.79434888939284)
((0.1, 0.9, 1e-14, 100), 5.7645991186304055e+22)
((0.2, 0.1, 1e-15, 100), 101.0820411583355)
((0.1, 0.9, 1e-13, 100), 0.44526660348364755)
((0.2, 0.1, 1e-10, 100), 0.038794589048400246)
((0.2, 0.2, 1e-12, 100), 0.002001935810948932)
((0.2, 0.2, 1e-11, 100), 0.0002369696359155631)
((0.2, 0.2, 1e-13, 100), 21.534294434528547)
((0.2, 0.2, 1e-15, 100), 68.7923370636235)
((0.2, 0.2, 1e-14, 100), 105.11493918510774)
((0.2, 0.2, 1e-10, 100), 0.006330619735477579)
((0.2, 0.2, 0.01, 100), 94.9905000256172)
((0.2, 0.2, 1e-05, 100), 48.65025530417711)
((0.2, 0.2, 0.0001, 100), 91.97105741248753)
((0.2, 0.2, 1e-06, 100), 71.09344365320132)
((0.2, 0.3, 0.0001, 100), 65.71941127239405)
((0.2, 0.2, 1e-08, 100), 0.0644083118096598)
((0.2, 0.2, 1e-09, 100), 0.03974664053974603)
((0.2, 0.3, 0.01, 100), 106.94796764090458)
((0.2, 0.3, 0.001, 100), 51.403618189364074)
((0.2, 0.2, 1e-07, 100), 2.6036246777239715)
((0.2, 0.2, 0.001, 100), 68.7508051996951)
((0.2, 0.3, 1e-10, 100), 0.0002443562075685918)
((0.2, 0.3, 1e-09, 100), 0.01390787513504496)
((0.2, 0.3, 1e-13, 100), 21.59145615197302)
((0.2, 0.4, 1e-05, 100), 37.924405551396966)
((0.2, 0.3, 1e-08, 100), 0.08787487752315967)
((0.2, 0.3, 1e-07, 100), 0.23039999653006096)
((0.2, 0.4, 1e-08, 100), 0.05891684110205593)
((0.2, 0.3, 1e-05, 100), 69.6350874078697)
((0.2, 0.3, 0.1, 100), 95.78774660349671)
((0.2, 0.3, 1e-11, 100), 0.00027835946326044937)
((0.2, 0.4, 0.1, 100), 97.90027231023642)
((0.2, 0.4, 1e-12, 100), 0.03425274435913351)
((0.2, 0.5, 1e-11, 100), 0.00875689528712123)
((0.2, 0.5, 1e-13, 100), 2.1778085651052796)
((0.2, 0.3, 1e-06, 100), 9.829332229433556)
((0.2, 0.4, 0.001, 100), 48.87930180094075)
((0.2, 0.4, 1e-07, 100), 0.268537097793728)
((0.2, 0.2, 0.1, 100), 95.06904247633005)
((0.2, 0.5, 1e-12, 100), 0.0103708393690999)
((0.2, 0.4, 1e-10, 100), 0.00013567931206166583)
((0.2, 0.4, 1e-13, 100), 4.162002177551969)
((0.2, 0.4, 0.0001, 100), 50.98891946373725)
((0.2, 0.4, 1e-11, 100), 0.007327556321036789)
((0.2, 0.3, 1e-15, 100), 205.97389300037784)
((0.2, 0.4, 0.01, 100), 67.23835386578504)
((0.2, 0.4, 1e-06, 100), 1.2832836825761458)
((0.2, 0.5, 1e-15, 100), 87.0964427509983)
((0.2, 0.4, 1e-09, 100), 0.0017110474148081538)
