Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-091137
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 11.880665063858032 seconds.
Estimated time to finish is 142.5679807662964 seconds.
--------------------------------------------------------------------------------
((0.2, 0.2, 0.01, 100), 0.05225365645805339)
((0.2, 0.2, 1e-06, 100), 0.05089615040017466)
((0.2, 0.2, 1e-05, 100), 0.04692729995770457)
((0.2, 0.4, 0.0001, 100), 0.05216282348889582)
((0.2, 0.3, 1e-11, 100), 142378763636433.53)
((0.2, 0.2, 1e-14, 100), 2.4497853774266646e+27)
((0.2, 0.2, 0.001, 100), 0.05313553493717973)
((0.2, 0.3, 1e-12, 100), 1.2989281773871671e+19)
((0.2, 0.3, 1e-07, 100), 0.08535852778182935)
((0.2, 0.3, 0.0001, 100), 0.05042972364154187)
((0.2, 0.3, 1e-13, 100), 1.0983083865821641e+21)
((0.2, 0.4, 0.01, 100), 0.05295258667524361)
((0.2, 0.3, 0.1, 100), 0.051292050804768285)
((0.2, 0.2, 1e-15, 100), 2.764748639823336e+26)
((0.2, 0.3, 1e-09, 100), 46602797682018.734)
((0.2, 0.3, 0.01, 100), 0.05261932112681296)
((0.2, 0.3, 0.001, 100), 0.05336229224122815)
((0.2, 0.3, 1e-10, 100), 236361268405163.9)
((0.2, 0.3, 1e-06, 100), 0.05584813859610973)
((0.2, 0.3, 1e-05, 100), 0.04997988800766121)
((0.2, 0.3, 1e-08, 100), 0.09854073466797506)
((0.2, 0.5, 1e-11, 100), 4.159638396069158e+17)
((0.2, 0.4, 1e-09, 100), 1397063908263.4438)
((0.2, 0.5, 1e-12, 100), 1.7836297833990504e+20)
((0.2, 0.4, 1e-13, 100), 1.2307371819130263e+18)
((0.2, 0.4, 1e-11, 100), 1.5452495873835424e+16)
((0.2, 0.4, 1e-12, 100), 7.604593563563353e+22)
((0.2, 0.4, 0.1, 100), 0.051833710462328784)
((0.2, 0.4, 1e-08, 100), 30431738392.142647)
((0.2, 0.4, 1e-10, 100), 3853205760389820.0)
((0.2, 0.4, 1e-07, 100), 0.09237170897483973)
((0.2, 0.4, 1e-05, 100), 0.05330947673279458)
((0.2, 0.3, 1e-15, 100), 8.336406549396187e+23)
((0.2, 0.4, 1e-06, 100), 0.04909343944923155)
((0.2, 0.5, 1e-13, 100), 3.876314419955432e+22)
((0.2, 0.4, 1e-14, 100), 4.2889980249028615e+25)
((0.2, 0.3, 1e-14, 100), 3.944777851554465e+26)
((0.2, 0.4, 0.001, 100), 0.0537829498065329)
((0.2, 0.5, 1e-15, 100), 2.3618046362697765e+24)
((0.2, 0.5, 1e-14, 100), 3.1268325341906456e+26)
((0.2, 0.4, 1e-15, 100), 1.294062822751462e+27)
((0.2, 0.5, 0.0001, 100), 0.05483730846368776)
((0.2, 0.5, 1e-07, 100), 0.10233375117008203)
((0.2, 0.5, 1e-09, 100), 28934589483249.895)
((0.2, 0.5, 1e-05, 100), 0.05392760710046056)
((0.2, 0.5, 1e-08, 100), 99277302561.96017)
((0.2, 0.5, 1e-10, 100), 8195564311404.76)
((0.2, 0.6, 1e-13, 100), 5.297531338515721e+20)
((0.2, 0.5, 0.001, 100), 0.05523927086673398)
((0.2, 0.5, 1e-06, 100), 0.04683537897921102)
((0.2, 0.6, 1e-12, 100), 2.5979853086156114e+18)
((0.2, 0.5, 0.1, 100), 0.05207798994482184)
((0.2, 0.5, 0.01, 100), 0.053293047910559374)
((0.2, 0.6, 1e-08, 100), 19406877354371.523)
((0.2, 0.6, 1e-06, 100), 0.04684917689891807)
((0.2, 0.6, 0.001, 100), 0.057931384501406426)
((0.2, 0.6, 1e-11, 100), 4.397801573405458e+16)
((0.2, 0.6, 0.01, 100), 0.05347267431629309)
((0.2, 0.6, 1e-05, 100), 0.0537913549713551)
((0.2, 0.6, 0.0001, 100), 0.05647146985116301)
((0.2, 0.7, 1e-06, 100), 0.046553519516518885)
((0.2, 0.7, 1e-10, 100), 1.6488563576574404e+16)
((0.2, 0.6, 1e-09, 100), 33520473.915252663)
((0.2, 0.6, 1e-10, 100), 2496096902936768.0)
((0.2, 0.6, 0.1, 100), 0.05197677421503251)
((0.2, 0.7, 1e-11, 100), 9.7019343191235e+18)
((0.2, 0.7, 1e-08, 100), 121277105524501.66)
((0.2, 0.8, 1e-10, 100), 329663620141.1102)
((0.2, 0.6, 1e-14, 100), 7.47733602912288e+24)
((0.2, 0.7, 0.01, 100), 0.053445061368993095)
((0.2, 0.7, 1e-12, 100), 1.7324991388833845e+19)
((0.2, 0.7, 0.0001, 100), 0.05805102292254007)
((0.2, 0.8, 1e-08, 100), 5996148974503.473)
((0.2, 0.7, 1e-05, 100), 0.05419626863369872)
((0.2, 0.8, 1e-11, 100), 209274998986808.44)
((0.2, 0.7, 1e-07, 100), 0.11175264726004572)
((0.2, 0.8, 1e-07, 100), 180788329840.9895)
((0.2, 0.6, 1e-15, 100), 2.848783390808427e+25)
((0.2, 0.7, 1e-13, 100), 2.227148629301122e+23)
((0.2, 0.7, 0.1, 100), 0.05181161029364376)
((0.2, 0.8, 1e-06, 100), 0.04830139262054235)
((0.2, 0.7, 0.001, 100), 0.060307352758304456)
((0.2, 0.6, 1e-07, 100), 0.11108807643309129)
((0.2, 0.7, 1e-09, 100), 5270839967525.537)
((0.2, 0.8, 1e-12, 100), 0.049966533040310505)
((0.2, 0.8, 1e-13, 100), 2.9281436832495023e+20)
((0.2, 0.8, 1e-09, 100), 87657255539392.67)
((0.2, 0.8, 1e-14, 100), 2.3160806303451145e+25)
((0.2, 0.7, 1e-15, 100), 1.99285825369512e+25)
((0.2, 0.7, 1e-14, 100), 2.4196712552991736e+25)
((0.2, 0.8, 1e-15, 100), 4.228291982089613e+24)
((0.2, 0.8, 1e-05, 100), 0.055671319348362114)
((0.2, 0.8, 0.0001, 100), 0.06073867373239754)
((0.2, 0.8, 0.001, 100), 0.06140901418150666)
((0.2, 0.8, 0.01, 100), 0.05325010498319893)
((0.2, 0.8, 0.1, 100), 0.05166383470767153)
((0.2, 0.9, 1e-12, 100), 3.802362232010267e+17)
((0.2, 0.9, 1e-07, 100), 11893732201.797222)
((0.2, 0.9, 1e-11, 100), 63123751755362.86)
((0.2, 0.9, 1e-13, 100), 4.3998809201101693e+21)
((0.2, 0.9, 1e-08, 100), 3279433274761.04)
